INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. ‰ЫТ Date NE)
,,,,,,,,,,,,
BAI_A DE GUANABARA E LAGOA RODRIGO DE FREITAS ,,,,,,,,,,,,
,,1501,BAI_A DE GUANABARA ,,,,,2001,50000,,,
,,1511,BARRA DO RIO DE JANEIRO ,,,,,2000,19989,,,
,,1512,PORTO DO RIO DE JANEIRO ,,,,,2000,20000,,,
,,1513,TERMINAIS DA BAI_A DE GUANABARA ,,,,,2009,15000,,,
,,1515,BAI_A DE GUANABARA Р ILHA DO MOCANGUE_ E PROXIMIDADES ,,,,,2000,8000,,,
,,1520,LAGOA RODRIGO DE FREITAS ,,,,,1968,4000,,,
,,1531,ILHA DO BOQUEIRA_O E ADJACE_NCIAS - BAI_A DE GUANABARA ,,,,,1992,6500,,,
