INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. ‰ЫТ Date NE)
,,,,,,,,,,,,
RIO AMAZONAS ,,,,,,,,,,,,
,,4150 HS - D11,SE_RIE D Р TRECHO SANTO ANTO_NIO DO IC_A A TABATINGA,,,,,,,,,
,,4150 HS - D12,SE_RIE D Р TRECHO SANTO ANTO_NIO DO IC_A A TABATINGA,,,,,,,,,
,,,,,,,,,,,,
RIO JARI ,,,,,,,,,,,,
,,4201 A,DA I. GRANDE DE TAIAC_UI_ A_ I. BITUBA ,,,,,1976,20000,,,
,,4201 B,DA I. BITUBA A PORTO ALEGRE ,,,,,1976,20000,,,
,,4202 A,DE PORTO ALEGRE A_ I. MARAPI,,,,,1976,20000,,,
,,4202 B,DA I. MARAPI A_ FAZENDA CAIC_ARA ,,,,,1976,20001,,,
,,4203,DA FAZENDA CAIC_ARA A ARAPIRANGA ,,,,,1976,20003,,,
,,,,,,,,,,,,
ESTREITOS ,,,,,,,,,,,,
,,4341,ESTREITOS DE BREVES E DE BOIUC_U Р DA I. SANTA HELENA A_ I. PRACAXI ,,,,,1976,50000,,,
,,4342 A,FURO DOS MACACOS Р DA I. PRACAXI AO RIO DOS VEADOS ,,,,,1976,50006,,,
,,4342 B,FURO DOS MACACOS Р DO RIO DOS VEADOS AO RIO JACARE_ GRANDE ,,,,,1976,50013,,,
,,4343 A,FUROS DO TAJAPURU E DA COMPANHIA Р DA I. PRACAXI A_ I. MUTUNQUARA ,,,,,1976,50008,,,
,,4343 B,"FUROS DO TAJAPURU, DA COMPANHIA, DO LIMA_O E ITUQUARA Р DA I. MUTUNQUARA AO CANAL DO VIEIRA ",,,,,1976,50013,,,
,,,,,,,,,,,,
RIO TOCANTINS ,,,,,,,,,,,,
,,4361,DA BAI_A DO MARAPATA_ A_ ILHA DO JOROCAZINHO ,,,,,2014,100000,,,
,,4362,DA ILHA DO JOROCAZINHO A MOCAJUBA ,,,,,2014,100000,,,
,,4363,DE MOCAJUBA A_ ILHA ARARAIM,,,,,2014,100000,,,
,,4364,DA ILHA ARARAIM A_ ILHA DA RAINHA ,,,,,2014,50000,,,
,,4365,DA ILHA DA RAINHA A MURU ,,,,,2014,50000,,,
,,4366,DA ILHA TAUA_ A TUCURUI_ ,,,,,2014,50000,,,
,,,,,,,,,,,,
RIO XINGU ,,,,,,,,,,,,
,,4361 A,DA I. DE URUCURICAIA A_ PTA. ITAPINIMA ,,,,,1980,100059,,,
,,4361 B,DA PTA. ITAPINIMA A BELO MONTE ,,,,,1980,100000,,,
,,,,,,,,,,,,
RIO TAPAJO_S ,,,,,,,,,,,,
,,4381 A,DE SANTARE_M A SURUCUA_ ,,,,,1984,100063,,,
,,4381 B,DE SURUCUA_ A AVEIRO,,,,,1984,100001,,,
,,4382 A,DE AVEIRO A_S ILHAS DO PRADO ,,,,,1984,49998,,,
,,4382 B,DAS ILHAS DO PRADO A ITAITUBA ,,,,,1984,49980,,,
,,4383,DE ITAITUBA A SA_O LUI_S DO TAPAJO_S ,,,,,1984,49965,,,
,,,,,,,,,,,,
RIO TROMBETAS ,,,,,,,,,,,,
,,4411,DA FOZ DO RIO TROMBETAS AO LAGO QUIRIQUIRI_ ,,,,,2010,25000,,,
,,4412,DO LAGO QUIRIQUIRI_ AO LAGO PARU ,,,,,2010,25000,,,
,,4413,DE ORIXIMINA_ A_ ILHA JACITARA,,,,,2010,25000,,,
,,4414,DA ILHA JACITARA AO LAGO AXIPICA ,,,,,2010,25000,,,
,,4415,DO ESTIRA_O DO FRANC_A AO LAGO ARACUA_ ,,,,,2010,25000,,,
,,4416,DO LAGO ARACUA_ AO LAGO BACABAL ,,,,,2010,25000,,,
,,4417,DOLAGOSAMAU_MAAOLAGOMUSSURA_ ,,,,,2010,25000,,,
,,4418,PORTO TROMBETAS ,,,,,2010,25000,,,
,,,,,,,,,,,,
RIO MADEIRA ,,,,,,,,,,,,
,,4500,RIO MADEIRA ,,,,,,40000,,,
,,4500 HM - A1,SE_RIE A Р TRECHO ITACOATIARA Р BORBA,,,,,,,,,
,,4500 HM - A2,SE_RIE A Р TRECHO ITACOATIARA Р BORBA,,,,,,,,,
,,4500 HM - A3,SE_RIE A Р TRECHO ITACOATIARA Р BORBA,,,,,,,,,
,,4500 HM - A4,SE_RIE A Р TRECHO ITACOATIARA Р BORBA,,,,,,,,,
,,4500 HM - A5,SE_RIE A Р TRECHO ITACOATIARA Р BORBA,,,,,,,,,
,,4500 HM - A6,SE_RIE A Р TRECHO ITACOATIARA Р BORBA,,,,,,,,,
,,4500 HM - A7,SE_RIE A Р TRECHO ITACOATIARA Р BORBA,,,,,,,,,
,,4500 HM - A8,SE_RIE A Р TRECHO ITACOATIARA Р BORBA,,,,,,,,,
,,4500 HM - A9,SE_RIE A Р TRECHO ITACOATIARA Р BORBA,,,,,,,,,
,,4500 HM - A10,SE_RIE A Р TRECHO ITACOATIARA Р BORBA,,,,,,,,,
,,4500 HM - A11,SE_RIE A Р TRECHO ITACOATIARA Р BORBA,,,,,,,,,
